frequency	R	T
250.00	0.011014	0.96731
252.00	0.011787	0.96485
254.00	0.012641	0.96213
256.00	0.013586	0.95913
258.00	0.014637	0.95579
260.00	0.015808	0.95205
262.00	0.017120	0.94786
264.00	0.018595	0.94313
266.00	0.020260	0.93776
268.00	0.022147	0.93164
270.00	0.024297	0.92462
272.00	0.026758	0.91653
274.00	0.029588	0.90715
276.00	0.032859	0.89620
278.00	0.036660	0.88336
280.00	0.041096	0.86823
282.00	0.046298	0.85034
284.00	0.052421	0.82910
286.00	0.059651	0.80382
288.00	0.068197	0.77371
290.00	0.078283	0.73789
292.00	0.090118	0.69555
294.00	0.10383	0.64607
296.00	0.11938	0.58950
298.00	0.13634	0.52715
300.00	0.15373	0.46239
302.00	0.16986	0.40123
304.00	0.18244	0.35202
306.00	0.18918	0.32336
308.00	0.18868	0.32083
310.00	0.18107	0.34453
312.00	0.16786	0.38929
314.00	0.15126	0.44710
316.00	0.13344	0.50989
318.00	0.11607	0.57147
320.00	0.10015	0.62813
322.00	0.086110	0.67821
324.00	0.074002	0.72144
326.00	0.063697	0.75825
328.00	0.054979	0.78937
330.00	0.047618	0.81561
332.00	0.041396	0.83774
334.00	0.036124	0.85643
336.00	0.031640	0.87227
338.00	0.027811	0.88574
340.00	0.024531	0.89724
342.00	0.021714	0.90711
344.00	0.019284	0.91562
346.00	0.017181	0.92299
348.00	0.015354	0.92942
350.00	0.013760	0.93505