perturbation	frequency	reflection	transmission
4.0000E-8	250.00	-0.020344+0.10226i	0.97845+0.10186i
4.0000E-8	260.00	-0.029876+0.12112i	0.96864+0.12059i
4.0000E-8	270.00	-0.046992+0.14707i	0.95114+0.14630i
4.0000E-8	280.00	-0.081926+0.18277i	0.91566+0.18151i
4.0000E-8	290.00	-0.16210+0.22298i	0.83486+0.22057i
4.0000E-8	300.00	-0.33418+0.19576i	0.66308+0.19083i
4.0000E-8	310.00	-0.42433-0.060805i	0.57661-0.067192i
4.0000E-8	320.00	-0.24577-0.20645i	0.75739-0.21032i
4.0000E-8	330.00	-0.12183-0.18430i	0.88106-0.18636i
4.0000E-8	340.00	-0.067254-0.14314i	0.93507-0.14439i
4.0000E-8	350.00	-0.041843-0.11053i	0.96000-0.11140i
6.0000E-8	250.00	-0.020663+0.10300i	0.97812+0.10260i
6.0000E-8	260.00	-0.030433+0.12215i	0.96807+0.12161i
6.0000E-8	270.00	-0.048064+0.14852i	0.95005+0.14774i
6.0000E-8	280.00	-0.084278+0.18479i	0.91329+0.18350i
6.0000E-8	290.00	-0.16786+0.22466i	0.82908+0.22217i
6.0000E-8	300.00	-0.34437+0.18923i	0.65298+0.18416i
6.0000E-8	310.00	-0.41920-0.074213i	0.58193-0.080523i
6.0000E-8	320.00	-0.23773-0.20751i	0.76544-0.21126i
6.0000E-8	330.00	-0.11822-0.18265i	0.88465-0.18466i
6.0000E-8	340.00	-0.065653-0.14176i	0.93664-0.14299i
6.0000E-8	350.00	-0.041045-0.10961i	0.96079-0.11046i
8.0000E-8	250.00	-0.021289+0.10441i	0.97748+0.10400i
8.0000E-8	260.00	-0.031532+0.12410i	0.96695+0.12355i
8.0000E-8	270.00	-0.050198+0.15130i	0.94788+0.15049i
8.0000E-8	280.00	-0.089016+0.18859i	0.90850+0.18724i
8.0000E-8	290.00	-0.17954+0.22731i	0.81736+0.22467i
8.0000E-8	300.00	-0.36268+0.17357i	0.63489+0.16824i
8.0000E-8	310.00	-0.40644-0.095406i	0.59500-0.10152i
8.0000E-8	320.00	-0.22431-0.20820i	0.77887-0.21175i
8.0000E-8	330.00	-0.11227-0.17965i	0.89055-0.18156i
8.0000E-8	340.00	-0.063000-0.13937i	0.93926-0.14056i
8.0000E-8	350.00	-0.039716-0.10802i	0.96209-0.10886i
4.0000E-8	272.00	-0.052025+0.15337i	0.94601+0.15253i
4.0000E-8	274.00	-0.057853+0.16009i	0.94008+0.15917i
4.0000E-8	276.00	-0.064639+0.16724i	0.93319+0.16622i
4.0000E-8	278.00	-0.072584+0.17481i	0.92513+0.17368i
4.0000E-8	282.00	-0.092958+0.19106i	0.90451+0.18964i
4.0000E-8	284.00	-0.10603+0.19953i	0.89130+0.19793i
4.0000E-8	286.00	-0.12158+0.20796i	0.87562+0.20613i
4.0000E-8	288.00	-0.14009+0.21597i	0.85699+0.21388i
4.0000E-8	292.00	-0.18816+0.22808i	0.80871+0.22530i
4.0000E-8	294.00	-0.21871+0.22997i	0.77812+0.22674i
4.0000E-8	296.00	-0.25383+0.22681i	0.74303+0.22307i
4.0000E-8	298.00	-0.29291+0.21627i	0.70407+0.21196i
4.0000E-8	302.00	-0.37423+0.16306i	0.62348+0.15753i
4.0000E-8	304.00	-0.40806+0.11753i	0.59030+0.11149i
4.0000E-8	306.00	-0.43003+0.061294i	0.56913+0.054896i
4.0000E-8	308.00	-0.43583-4.8380E-4i	0.56422-0.0070023i
4.0000E-8	312.00	-0.39815-0.11321i	0.60356-0.11924i
4.0000E-8	314.00	-0.36238-0.15380i	0.63995-0.15934i
4.0000E-8	316.00	-0.32247-0.18178i	0.68029-0.18675i
4.0000E-8	318.00	-0.28271-0.19853i	0.72031-0.20294i
4.0000E-8	322.00	-0.21287-0.20796i	0.79032-0.21137i
4.0000E-8	324.00	-0.18434-0.20516i	0.81883-0.20814i
4.0000E-8	326.00	-0.15996-0.19959i	0.84314-0.20222i
4.0000E-8	328.00	-0.13930-0.19238i	0.86371-0.19471i
4.0000E-8	332.00	-0.10708-0.17584i	0.89570-0.17769i
6.0000E-8	272.00	-0.053265+0.15493i	0.94475+0.15407i
6.0000E-8	274.00	-0.059296+0.16176i	0.93862+0.16082i
6.0000E-8	276.00	-0.066328+0.16903i	0.93147+0.16799i
6.0000E-8	278.00	-0.074572+0.17672i	0.92311+0.17556i
6.0000E-8	282.00	-0.095757+0.19316i	0.90168+0.19170i
6.0000E-8	284.00	-0.10938+0.20168i	0.88793+0.20003i
6.0000E-8	286.00	-0.12559+0.21009i	0.87159+0.20821i
6.0000E-8	288.00	-0.14490+0.21797i	0.85215+0.21581i
6.0000E-8	292.00	-0.19502+0.22917i	0.80184+0.22629i
6.0000E-8	294.00	-0.22674+0.23007i	0.77009+0.22673i
6.0000E-8	296.00	-0.26300+0.22537i	0.73388+0.22150i
6.0000E-8	298.00	-0.30293+0.21262i	0.69410+0.20817i
6.0000E-8	302.00	-0.38343+0.15326i	0.61442+0.14760i
6.0000E-8	304.00	-0.41479+0.10470i	0.58374+0.098559i
6.0000E-8	306.00	-0.43300+0.046550i	0.56637+0.040111i
6.0000E-8	308.00	-0.43451-0.015404i	0.56575-0.021902i
6.0000E-8	312.00	-0.39034-0.12400i	0.61153-0.12992i
6.0000E-8	314.00	-0.35320-0.16161i	0.64923-0.16701i
6.0000E-8	316.00	-0.31305-0.18680i	0.68978-0.19163i
6.0000E-8	318.00	-0.27379-0.20128i	0.72927-0.20555i
6.0000E-8	322.00	-0.20586-0.20787i	0.79733-0.21116i
6.0000E-8	324.00	-0.17834-0.20431i	0.82482-0.20720i
6.0000E-8	326.00	-0.15487-0.19829i	0.84821-0.20084i
6.0000E-8	328.00	-0.13501-0.19084i	0.86798-0.19310i
6.0000E-8	332.00	-0.10403-0.17417i	0.89872-0.17597i
8.0000E-8	272.00	-0.055740+0.15791i	0.94224+0.15702i
8.0000E-8	274.00	-0.062181+0.16496i	0.93569+0.16398i
8.0000E-8	276.00	-0.069712+0.17244i	0.92805+0.17136i
8.0000E-8	278.00	-0.078564+0.18034i	0.91908+0.17913i
8.0000E-8	282.00	-0.10141+0.19709i	0.89598+0.19557i
8.0000E-8	284.00	-0.11615+0.20565i	0.88111+0.20391i
8.0000E-8	286.00	-0.13371+0.21394i	0.86341+0.21195i
8.0000E-8	288.00	-0.15466+0.22143i	0.84235+0.21914i
8.0000E-8	292.00	-0.20886+0.23039i	0.78798+0.22732i
8.0000E-8	294.00	-0.24283+0.22893i	0.75401+0.22537i
8.0000E-8	296.00	-0.28106+0.22068i	0.71588+0.21657i
8.0000E-8	298.00	-0.32205+0.20302i	0.67512+0.19830i
8.0000E-8	302.00	-0.39817+0.13137i	0.60000+0.12550i
8.0000E-8	304.00	-0.42301+0.078197i	0.57591+0.071944i
8.0000E-8	306.00	-0.43310+0.018742i	0.56667+0.012308i
8.0000E-8	308.00	-0.42714-0.041013i	0.57350-0.047398i
8.0000E-8	312.00	-0.37454-0.13997i	0.62756-0.14566i
8.0000E-8	314.00	-0.33635-0.17251i	0.66625-0.17766i
8.0000E-8	316.00	-0.29659-0.19334i	0.70633-0.19793i
8.0000E-8	318.00	-0.25864-0.20443i	0.74446-0.20847i
8.0000E-8	322.00	-0.19425-0.20691i	0.80892-0.21003i
8.0000E-8	324.00	-0.16844-0.20231i	0.83468-0.20505i
8.0000E-8	326.00	-0.14650-0.19570i	0.85653-0.19812i
8.0000E-8	328.00	-0.12795-0.18794i	0.87499-0.19009i
8.0000E-8	332.00	-0.099007-0.17119i	0.90370-0.17291i